Nota Estudiantes,Nota Grupo,Promedio Ponderado,Variedad de Roles,Coevaluación,Desempeño
0.3740027670838371,0.696954770495314,0.1811942736948569,0.19999999999999996,0.47562702572726884,0
0.9572321567695186,0.5340890436809703,0.5399448394008237,1.0,0.11412318593801289,0
0.7358335805919454,0.3064013567027768,0.8728293325480588,0.6000000000000001,0.4873428578773772,1
0.600865442055808,0.8131591451182307,0.7313264017793665,0.8,0.9229794716189345,1
0.1528055124437529,0.6834579006911256,0.8060757471873021,0.8,0.522203923099826,1
0.15278109698894496,0.15876514377992657,0.6574767701725147,0.19999999999999996,0.6182341855618838,0
0.05367127838361978,0.910771008739632,0.6911560884863933,0.0,0.15693815312701762,0
0.871658833811629,0.8219445428513275,0.8489471693090489,0.6000000000000001,0.043683091329476356,1
0.6033520495651813,0.9498357151667458,0.24608797285550418,0.8,0.11096468971439119,0
0.7116193015834598,0.7246486623334871,0.48717724849387833,0.19999999999999996,0.6002099746849195,0
0.015712987119322,0.6117897215771841,0.21747126257295213,0.8,0.0951191430345669,0
0.9766627502867834,0.41565368083541154,0.988189011690848,0.6000000000000001,0.3769769802006166,1
0.8375122650431204,0.9326799759265298,0.9443380115649332,0.6000000000000001,0.5516192103997414,1
0.20981562187162994,0.8656861509881998,0.0346784725219414,0.3999999999999999,0.3896763871239716,0
0.1789278354042036,0.04078708912152825,0.7045285963750009,1.0,0.16400549877713672,1
0.18052671941096657,0.021842292154951634,0.9254224571135237,1.0,0.2744565343281113,1
0.30284409990420996,0.37366767751926583,0.1766113636532886,0.19999999999999996,0.9310248463142077,0
0.526058465373592,0.809901446723928,0.5661338497286525,0.6000000000000001,0.6779023166087368,0
0.4321105848149582,0.987497011973124,0.9156082012034986,0.3999999999999999,0.4974064939280207,0
0.2896716528468168,0.14650484413847206,0.02916718294676062,0.3999999999999999,0.012565572407334595,0
0.6142214169746298,0.5924100022754348,0.696328374588159,0.8,0.9953226958577972,0
0.13607838818188056,0.37811703296089977,0.2940339329785797,0.8,0.6733608508573463,0
0.2905983715028577,0.9700495374814265,0.9245655998625806,0.3999999999999999,0.31772227109113876,0
0.3657243492671227,0.8416229295379405,0.971486948999375,0.8,0.8818229436158495,1
0.4565309584661489,0.837813992665523,0.9445463121137373,0.6000000000000001,0.25904892570705274,1
0.7896668093140601,0.4663529583197952,0.47188197592921033,0.0,0.5455248943236214,0
0.1969952075207397,0.4122132393498117,0.8618655590510621,0.6000000000000001,0.6378662829798868,1
0.5154076312757697,0.2701024267107682,0.8442750972162718,0.3999999999999999,0.2215640899405969,0
0.5945450705280878,0.05199901499100616,0.31590627097005314,0.3999999999999999,0.9812608383825272,0
0.04189563143392039,0.8643380125189377,0.8285542956711621,0.6000000000000001,0.7503372371679699,1
0.6098606225492038,0.8122607193630025,0.03224585259047041,0.8,0.5593645854471117,0
0.16748861405193485,1.0,0.5946158967173212,0.8,0.18096905626415802,0
0.06072458151141033,0.9969039487089847,0.22631955596811829,1.0,0.05383725435667745,0
0.9553809944958633,0.5535198728292318,0.11626943943292091,0.3999999999999999,0.3208694146467386,0
0.9723325496818149,0.7681302528678389,0.07241339559613688,0.19999999999999996,0.7553482525753376,0
0.8131725398704139,0.9447766698392691,0.6951905955622416,1.0,0.2699826101269498,0
0.3032201754237723,0.8491885773186847,0.33679620459844783,0.8,0.5410506195569512,0
0.09374453793613668,0.24391476117651384,0.723826842419931,0.6000000000000001,0.7300293454523253,1
0.6874878370961284,0.4481143027028219,0.060752091423469906,0.8,0.10809150588265679,0
0.4404185597213267,0.1251423855943065,0.3120749627706872,0.6000000000000001,0.6872471217481192,0
0.11840901977573975,0.9541078237692522,0.5375217940308148,1.0,0.09196853258987994,0
0.49611674521974447,0.6045134017117922,0.7901497530575184,0.3999999999999999,0.9679519077074464,0
0.029686043029985603,0.22511708658996657,0.3155563670002475,0.8,0.4897289061534724,0
0.9153313877297155,0.6703630599160266,0.6244020002809033,0.6000000000000001,0.1509572217161731,0
0.25682515716293064,0.6165260420343956,0.8859336627804517,0.3999999999999999,0.3432628672266759,0
0.6655112488145494,0.35527664872688847,0.6143180857414041,0.19999999999999996,0.41451729904877016,0
0.3104043882372017,0.10946351117032908,0.22928659002130647,0.6000000000000001,0.7603615202164276,0
0.5213126457465463,0.6702349414841899,0.0195689435977344,1.0,0.7455542409877043,0
